acc,experiment,tank,pulse_no,treatment,hour.of.death,temp,tempsource,start_date,end_date,id,height_mm,length_mm,width_mm,mass_g,min.of.death
13,pilot,14,A1,43,4.5,43,apex,7/2/2024 11:00,7/3/2024 10:00,A1_pilot,74.06,52.5,20.27,38.84,270
13,pilot,14,A3,43,9.5,43,apex,7/2/2024 11:00,7/3/2024 10:00,A3_pilot,81.02,46.27,20.57,40.5,570
13,pilot,14,A4,43,6.25,43,apex,7/2/2024 11:00,7/3/2024 10:00,A4_pilot,78.87,44.61,23.26,41.01,375
13,pilot,14,A5,43,15,43,apex,7/2/2024 11:00,7/3/2024 10:00,A5_pilot,83.68,43.48,22.48,48.66,900
13,pilot,15,A6,46,1,45.7,apex,7/2/2024 11:00,7/3/2024 10:00,A6_pilot,86.8,54.41,26.8,59.48,60
13,pilot,15,A8,46,1.25,45.7,apex,7/2/2024 11:00,7/3/2024 10:00,A8_pilot,90.6,74.69,20.57,49.13,75
13,pilot,15,A9,46,0.5,45.7,apex,7/2/2024 11:00,7/3/2024 10:00,A9_pilot,83.88,46.22,16.61,43.63,30
13,pilot,15,A10,46,0.25,45.7,apex,7/2/2024 11:00,7/3/2024 10:00,A10_pilot,78,49.55,22.54,47.36,15
13,exp_1,1,A1,37,34,37.00799,apex,7/15/2024 11:00,7/17/2024 9:19,A1_exp_1,72.06,47.95,21.49,40.36,2040
13,exp_1,1,A2,37,48,37.00799,apex,7/15/2024 11:00,7/18/2024 9:14,A2_exp_1,70.34,50.78,22.53,47.23,2880
13,exp_1,1,A3,37,32.75,37.00799,apex,7/15/2024 11:00,7/17/2024 9:19,A3_exp_1,63.36,41.23,17.73,29.38,1965
13,exp_1,1,A4,37,46.5,37.00799,apex,7/15/2024 11:00,7/18/2024 9:14,A4_exp_1,64.43,56.05,17.96,34.99,2790
13,exp_1,1,A5,37,16.75,37.00799,apex,7/15/2024 11:00,7/17/2024 9:19,A5_exp_1,88.89,51.73,23.69,45.77,1005
13,exp_1,2,A6,40,7.25,40.0801,apex,7/15/2024 11:00,7/17/2024 9:28,A6_exp_1,64.27,42.74,17.7,28.39,435
13,exp_1,2,A7,40,6.25,40.0801,apex,7/15/2024 11:00,7/17/2024 9:28,A7_exp_1,72,44.55,19.96,40.68,375
13,exp_1,2,A8,40,6.25,40.0801,apex,7/15/2024 11:00,7/17/2024 9:28,A8_exp_1,75.18,50.02,22.95,45.95,375
13,exp_1,2,A9,40,5,40.0801,apex,7/15/2024 11:00,7/17/2024 9:28,A9_exp_1,72.77,41.76,19.28,30.16,300
13,exp_1,2,A10,40,5.75,40.0801,apex,7/15/2024 11:00,7/17/2024 9:28,A10_exp_1,74.43,44.43,23.46,44.38,345
13,exp_1,14,B11,43,2.75,42.87042,apex,7/15/2024 11:00,7/17/2024 9:40,B11_exp_1,66.23,52.61,17.61,30.7,165
13,exp_1,14,B12,43,3.25,42.87042,apex,7/15/2024 11:00,7/17/2024 9:40,B12_exp_1,61.75,41.83,17.33,26.06,195
13,exp_1,14,B13,43,2.5,42.87042,apex,7/15/2024 11:00,7/17/2024 9:40,B13_exp_1,61.34,45.94,22.04,37.06,150
13,exp_1,14,B14,43,3,42.87042,apex,7/15/2024 11:00,7/17/2024 9:40,B14_exp_1,87.69,41.15,21.78,38.92,180
