temp,survival,exposure 
31.93025022,100,1440
33.96185547,100,1440
35.01796481,100,1440
36.99942508,80.29913099,1440
37.9758339,25.42852547,1440
40.0119385,0,1440
41.02326623,0,1440
43.02798946,0,1440
46.01723992,0,1440
31.98394904,100,400
36.02929254,100,400
38.03399947,100,400
41.03224863,100,400
42.02566045,100,400
43.0566647,90.52049054,400
44.02862307,10.51305682,400
45.0059774,0,400
46.01730513,0,400
47.07334926,0,400
48.02204466,0,400
49.99995109,0,400
31.97501554,100,120
38.99164468,100,120
43.01012246,100,120
44.01253298,100,120
45.03279421,100,120
46.11831237,86.11547039,120
47.08409228,90.62504076,120
48.00950842,70.63356127,120
49.05482583,30.79362526,120
49.99995109,0,120
